quest_id,body
32,"Очень крутая квест Комната ! Превзошла все ожидания, продумано все до мелочей. Были нюансы которые очень приятно удивили . Всем советую, особенно поклонникам фильма Матрица )"
32,"Ми з нашою командою отримали безліч позитивних емоцій після проходження квесту ""Матриця"". Квест дуже схожий з фільмом та супроводжується оригінальними саундтреками. Також квест мав дуже цікаві та, на перший погляд, складні загадки. Під час проходження здалося, що ми потрапили у фільм)))) З 10-ти балів цей квест отримує 11))))) Дякуємо команді ""Взаперти"" за цей квест."
32,"Дуже класна кімната! Найцікавіша з тих, в яких я була. Всі завдання були супер продумані, реквізит крутезний, неочікуваний підхід напочатку гри і дуже напружений фінал. Дякую за яскраві 57 хвилин :) 5+!"
32,"Серед усіх квестів ""Взаперти"" цей - найкращий. Музика - офіційний саундтрек фільму. Сюжет логічний. Декорації відповідають тематиці на всі 100%. Уся команда залишилась задоволена"
32,"Найбомбезніша кімната, в якій грала. Насичений сюжет, непрості завдання, напружена атмосфера. Раджу квест тим, хто вже має досвід. І важливо - працюйте командою) Фінал справді дуууууже цікавий!"
32,Квест надзвичайно крутий!! Всім фанатам Матриці обов'язково потрібно його пройти. Емоцій - море))) Дякую!!!))
32,"Это фурор! Были почти во всех комнатах сети взаперти и ничего похожего ещё не переживали. После прохождения ""Машины времени"" ожидали ""Матрицу"" с трепетом. Завидую каждому, кому только предстоит посетить эту комнату. Прошло уже 2 часа, а мы только и обсуждаем это творение. Мне страшно представить сколько в неё было вложено души, стараний, денег и мозгов. Очень сложно, очень качественно, очень динамично, очень, очень, очень! Так поразила, что даже на отзыв вдохновила) . Совет новоидущим: хотя бы раз в жизни должны были глянуть фильм, без фильма было бы не то. Создателю процветания и новых комнат!"
32,Одна из лучших комнат в которых мы были. Даже самая банальная и простая загадка которую мы разгадали в этой комнате вызвала восторг. Очень понравилось внимание к деталям которые создавали особый антураж. Очень советую комнату для опытных команд
32,"Відгуки не брешуть - цей квест дійсно прекрасний! Ми були вдвох з чоловіком, було важко. Вийшли за 15 секунд до кінця і використали не одну підказку. Але це через свою неуважність, бо сам квест дуже логічний, продуманий і цікавий. Атмосферно дуже, захоплююче, якщо Матриця - ваш фільм, то цей квест - ваш. І навіть якщо Матриця - це не зовсім ваше, квест-кімната від цього все одно не програє!"
32,"Были в квест-комнате ""матрица"". Что вам сказать? Офигенно. Незабываемый антураж полюбившейся трилогии, интересные головоломки, неожиданные технические решения в организации квеста, плюс ваше воображение и слаженная работа команды - все это позволяет погрузится в фантастический мир киберпанка и примерить на себя роль главных персонажей."
32,"Была во многих комнатах. Я ждала от этой комнаты чего-то новенького, то что могла б меня удивить - и это произошло. Вас ждет куча сюрпризов и новых загадок. Вам стоит попробовать свои силы и спасти Человечество."
32,"Все были просто в восторге. Со времени первого квеста ни в одной комнате не получала таких ярких эмоций. Это ваша лучшая комната, ВЗАПЕРТИ! Спасибо за отличный День Рождения"
32,"Доброго вечора) Це було незабутньо та атмосферненько) велике СПАСИБІ за проведений час. Сподіваємося що кімнату ""Майя: конец эпохи"" не надто затопило, бо дуже хочемо таки попасти туди..."
32,Очень сильно понравилось! Квест очень насыщенный и захватывающий! Много интересных загадок и будоражащих моментов. Советую всем — приходите на этот квест — будете безумно рады!
32,"Квест «Матрица: путь избранного», да это просто офигенительный квест:) Рекомендую!"
32,"Квест бомба, технологии на высоком уровне! Те кто будет проходить квест поймут) Была самая первая для меня квест комната, но оочень понравилась! Эти тайны и загадки просто бомба! Рекомендую всем. Когда я была на квесте просто забыла о реальности, был только этот мир и никакой другой, ведь декорации сделаны на высшем уровне ! Хоть мы его и не прошли но получили массу удовольствия"
32,"Отличный квест! Есть крутой сюжет, отличные головоломки и неожиданные решения. Необходима командная игра как нигде! 5+!"
32,"Ух, комната огонь, все так атмосферно, много положительных моментов связаных с фильмом! испытали массу эмоций! Пройдя уже множество комнат Взаперти, добалю - Матрица на данный момент будет лидером! Так же немало важный момент, для тех кто смотрел фильм. В этой комнате захочеться остаться и проходить ее сноав и снова!!!!"
32,"Обожаю тематику матрицы. Прекрасная обстановка, завораживающая и реалистичная. Комната просто шик. Советую. Прошли на последней минуте!"
32,Антураж как всегда на высоте. Квест супер. Масса положительных эмоций и адреналина. Молодцы. Спасибо!
32,"До сиз пор нахожусь под впечатлением квеста! Очень мега антуражно, крутые загадки...К сожалению, наша невнимательность опять нас подвела, но наверное из всех комнат в которых я была смело можно ставить высший бал) Спасибо организаторам!"
32,"Интересная, технологичная и несложная комната. Отлично подойдет для начинающих, но очень внимательных квестеров. Если кто давно не смотрел фильм, то советую перед прохождением пересмотреть, в квесте есть отсылки к конкретным действиям и событиям. Что касается технической части, то тут все работает на Ура! Где надо открывается, где надо загорается и тд. Квест абсолютно линейный и логичный, все задачи на прямую связаны с легендой квеста и собственно самим фильмом по которому сделана игра. Рекомендую к прохождению всем фанатам фильма и любителям кибер-панка."
32,"все было замечательно, интересно и в меру сложно, нам очень понравилось:) спасибо за хорошие впечатления)"
32,"Проходили квест вдвоем, справились с одной подсказкой. Загадки очень интересные и их много, заскучать времени нет, по крайней мере для двоих, комната атмосферная, красивая, все качественное - собственно, ""Взаперти"" всегда отличается именно качеством. Всем рекомендую!"
32,"Просто шикарний квест. Команді сподобалось абсолютно все: декорації, костюми, сюжет, загадки та загальна атмосфера. Адміністратор приємна та доброзичлива, сервіс взагалі на висоті. Раджу всім цю квест-кімнату, вона точно найкраща з усіх нами пройдених."
32,"Долго не доходили ноги до этой комнаты, хотя были наслышаны. Сказать честно - не разочаровала. Очень здорово было почувствовать себя в роли Нэо и очень понравилось большое количество загадок (местами очень необычных) и командная работа. А обстановка, антураж, реализация - просто слов нет!"
32,"Лучшая квест-комната в которой я был. Сложно, интересно, куча впечатлений и адреналина. ""Взаперти"" не перестает приятно удивлять."
32,"Все занадто круто! Дуже якісно, дуже цікаво, дуже гарно, достатньо важко і супер емоційно! Бажано щоб в команді була людина, що дивилася фільм, бо може бути трохи не ясно але весело точно буде всім"
32,"Это одна из лучших комнат! Интерьер супер! Задачи интересные и логичные. Ввшли конечно на последних минутах, но впечетления незабываемые! Для новичков, возможно, сложнова-то, но у кого есть хоть немного опыта - советую!"
32,"Найкраща кімната з відвіданих (а їх було немало), після якої ще довго дивуєшся, як можна було таке зробити :) Та кімната, до якої треба йти обов'язково!"
47,"Очень достойная комната. Загадки хоть и сложные, но вполне логичные. К тому же, благодаря техничной и адекватной работе персонала, все получается очень даже неплохо. Спасибо за хорошо проведённое время с пользой."
47,"Были впервые на квесте, все очень понравилось. Рекомендуем!"
47,"Очень классно, весело и интересно!!! Будьте внимательны, логичны и все получиться :)"
47,"Очень крутая квест-комната! Были вчетвером. Разгадали все за 5 минут до окончания, но брали пару раз подсказки. Все очень понравилось! Спасибо!"
47,Очень благодарны за полученное море положительных эмоций! Дети в восторге!!!
47,"Были взаперти, но вышли!!! Загадок уйма, разной степени сложности! Иногда даже приходилось брать подсказку оператора, т. к . сомневались в правильности направления мысли. Интерьер супер! Попадаешь в восточную сказку сразу! Даже дети 6 лет были в восторге от всего происходящего! Хорошо тренирует мозги! Если чесно- уже как наркотик- остановится сложно,хочется проходить всё новые и новые квесты! Рекомендую!!!!!!"
